epoch,accuracy,dice_coef,iou,loss,lr,precision_2,recall_2,val_accuracy,val_dice_coef,val_iou,val_loss,val_precision_2,val_recall_2
0,0.9746817350387573,0.8411053419113159,0.7464461922645569,0.15889421105384827,1e-04,0.8262549638748169,0.9204994440078735,0.9268274307250977,0.00274716061539948,0.0013755663530901074,0.997252881526947,0.0,0.0
1,0.9875575304031372,0.921868085861206,0.8613022565841675,0.07813237607479095,1e-04,0.933699369430542,0.9425094127655029,0.9854369759559631,0.905907392501831,0.833160936832428,0.09409263730049133,0.8981450796127319,0.9241347312927246
2,0.9886475801467896,0.9349251985549927,0.8829743266105652,0.06507471948862076,1e-04,0.9417607188224792,0.9469290375709534,0.9862187504768372,0.9047468304634094,0.8312591910362244,0.09525308758020401,0.9196309447288513,0.9059392213821411
3,0.9899625182151794,0.9455424547195435,0.900576114654541,0.054457396268844604,1e-04,0.9514545202255249,0.9523196816444397,0.9840392470359802,0.8996521830558777,0.8222229480743408,0.10034799575805664,0.8948502540588379,0.9082167744636536
4,0.9903548955917358,0.9490670561790466,0.906550943851471,0.05093277618288994,1e-04,0.9560882449150085,0.9519893527030945,0.9872122406959534,0.9147812724113464,0.8481770157814026,0.08521872758865356,0.9218080043792725,0.9244040846824646
5,0.991584837436676,0.9582224488258362,0.9225167632102966,0.041777320206165314,1e-04,0.96307373046875,0.9595820307731628,0.9896027445793152,0.9377444386482239,0.8883698582649231,0.06225559487938881,0.9333558082580566,0.9433967471122742
6,0.9922579526901245,0.9632214903831482,0.9315857291221619,0.03677917644381523,1e-04,0.9686306118965149,0.9618432521820068,0.9888308048248291,0.9353113770484924,0.8843663334846497,0.0646885558962822,0.9199216365814209,0.9511753916740417
7,0.9919998645782471,0.9613382816314697,0.9284454584121704,0.03866138309240341,1e-04,0.9683157801628113,0.9590169787406921,0.9892119765281677,0.9374027848243713,0.8880612850189209,0.06259715557098389,0.9180614948272705,0.959086537361145
8,0.9926090240478516,0.9666544198989868,0.9376821517944336,0.033345598727464676,1e-04,0.9712876677513123,0.96331787109375,0.9889925122261047,0.9351733326911926,0.8840246796607971,0.06482666730880737,0.9128144979476929,0.9637035727500916
9,0.9924126863479614,0.9655335545539856,0.9354967474937439,0.03446660190820694,1e-04,0.9727668166160583,0.9593241214752197,0.9889232516288757,0.9363387227058411,0.8862051367759705,0.06366123259067535,0.9089914560317993,0.97039395570755
10,0.9932774305343628,0.9715397953987122,0.9463728070259094,0.028460007160902023,1e-04,0.9769144058227539,0.9656170606613159,0.988896906375885,0.9334731101989746,0.8829368948936462,0.06652691215276718,0.9290501475334167,0.9399831295013428
11,0.9939522743225098,0.9759516716003418,0.9546613097190857,0.024048535153269768,1e-05,0.9810450077056885,0.9695729613304138,0.9892373085021973,0.9374449849128723,0.8889747262001038,0.06255493313074112,0.9220659136772156,0.953140139579773
12,0.9941251873970032,0.9771380424499512,0.956895649433136,0.022861381992697716,1e-05,0.9821462631225586,0.9704621434211731,0.9892508387565613,0.9375734925270081,0.8893250823020935,0.0624263621866703,0.9244757890701294,0.950680136680603
13,0.9942358732223511,0.9778053164482117,0.9581636786460876,0.022195108234882355,1e-05,0.9829320311546326,0.9709556698799133,0.9892597794532776,0.9377434849739075,0.8895942568778992,0.0622565858066082,0.9239694476127625,0.9517249464988708
14,0.994328498840332,0.9783862829208374,0.9592646360397339,0.02161368913948536,1e-05,0.9835927486419678,0.9713623523712158,0.9892879128456116,0.9377145767211914,0.8895084857940674,0.062285348773002625,0.9250871539115906,0.9509451389312744
15,0.994450032711029,0.9792425036430359,0.9608646631240845,0.020757511258125305,1e-05,0.9845570921897888,0.9718098640441895,0.9891144633293152,0.9357859492301941,0.8862099647521973,0.06421411782503128,0.9250428676605225,0.9489032626152039
16,0.9945806264877319,0.9800260066986084,0.9623594284057617,0.01997322402894497,1e-06,0.985521137714386,0.9725114703178406,0.9891557097434998,0.9365534782409668,0.8874624371528625,0.06344646960496902,0.9244828224182129,0.9492605924606323
17,0.9946066737174988,0.9801843762397766,0.9626622796058655,0.019815608859062195,1e-06,0.9857715368270874,0.9724317789077759,0.9891552925109863,0.9365193247795105,0.8873873353004456,0.06348070502281189,0.9245714545249939,0.9491487145423889
18,0.9946253895759583,0.9802897572517395,0.9628650546073914,0.019709939137101173,1e-06,0.9859185814857483,0.9724876284599304,0.9891560077667236,0.9364728331565857,0.8872914910316467,0.0635271817445755,0.9246801137924194,0.949043333530426
19,0.994644045829773,0.9803998470306396,0.9630760550498962,0.019600041210651398,1e-06,0.9860617518424988,0.9725638628005981,0.9891566634178162,0.9364540576934814,0.8872407078742981,0.06354596465826035,0.9247097373008728,0.9490205645561218
20,0.9946631193161011,0.9805107116699219,0.9632911086082458,0.019488224759697914,1e-06,0.9861995577812195,0.9726501107215881,0.989159882068634,0.9364852905273438,0.8872819542884827,0.06351475417613983,0.924660861492157,0.9491410851478577
21,0.9946833252906799,0.9806272387504578,0.9635121822357178,0.019372891634702682,1e-07,0.9864009618759155,0.9725707173347473,0.989159107208252,0.9365585446357727,0.8874209523200989,0.06344138085842133,0.9242063760757446,0.9501240253448486
22,0.9946856498718262,0.9806442856788635,0.9635456204414368,0.01935592293739319,1e-07,0.9863386750221252,0.9727833867073059,0.9891595244407654,0.9365630149841309,0.8874263167381287,0.06343694776296616,0.9241946339607239,0.9501500725746155
23,0.9946874380111694,0.9806591272354126,0.9635730981826782,0.0193413607776165,1e-07,0.9863644242286682,0.9727925062179565,0.9891584515571594,0.9365642666816711,0.8874266743659973,0.06343565136194229,0.9241968989372253,0.950141429901123
24,0.9946902394294739,0.9806727170944214,0.9636006951332092,0.019326938316226006,1e-07,0.9863892197608948,0.9727967381477356,0.9891576170921326,0.9365631937980652,0.8874226212501526,0.06343675404787064,0.9242008924484253,0.9501294493675232
25,0.9946925044059753,0.9806869029998779,0.9636277556419373,0.019312947988510132,1e-07,0.9864118099212646,0.9728025197982788,0.9891583919525146,0.9365594983100891,0.8874139785766602,0.06344041973352432,0.9242046475410461,0.9501273036003113
